conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type1_conv_10,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:07:43.992664,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent asked for feedback and closed the call with a polite greeting,3907,8039,12.121,12.121,1400,1416,2816,8039,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_11,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:07:49.791691,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call to the feedback IVR, and closed the call with a proper greeting.",3249,7425,4.787,4.786,1296,1319,2615,7425,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_12,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:07:55.735902,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call for feedback, and closed the chat with a proper greeting.",2801,7005,4.937,4.937,1251,1280,2531,7005,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_13,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:08:01.887708,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call for feedback, and closed the call with proper greetings.",3869,8084,5.14,5.14,1390,1417,2807,8084,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_14,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:08:32.278659,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,2045,6588,29.379,29.378,1084,1198,2282,6588,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_15,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:08:39.160568,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent greeted the customer, confirmed their identity, and checked if they could hear the agent. However, the agent did not ask for feedback or suggest transferring the call for feedback.",241,4540,5.87,5.87,704,746,1450,4540,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_16,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:08:46.579415,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent apologized for the inconvenience, informed the customer about the ongoing process, and closed the call with a polite greeting.",4767,9097,6.407,6.406,1550,1598,3148,9097,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_17,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:09:26.146864,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,12487,17150,38.554,38.553,3169,3310,6479,17150,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_18,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:09:33.673808,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call to a feedback IVR, and closed the call with proper greetings.",2916,7169,6.522,6.521,1218,1255,2473,7169,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_19,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:09:44.817398,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for further help, requested feedback, asked the customer to transfer the call for feedback, closed the chat with a proper greeting, and politely asked the customer to end the call when they were unable to hear.",3688,8313,10.141,10.141,1346,1451,2797,8313,0.1,512,Token counts are estimates (API doesn't provide exact counts)
